Level,Time,PodUID,CgroupID,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI
pod,2026-03-02 10:40:09.799,9bb793d0-cf0f-4e92-ab39-a1f6b2a25f81,4294976927,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,a152d98d-6f60-4ea7-a931-fad144116366,4294975373,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,a1b75670-727f-4e89-92df-b40d967893d6,4294976423,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,a6ae812c-2f36-4242-951e-7c510528abdf,4294974169,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,a8cd873b-f644-410c-84de-9107a29e8a95,4294975163,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,aaae8af9-ce6d-4315-8571-0b20fd1508a3,4294976969,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,ad30444e-ccf1-472e-bbdf-808e7e5136d7,4295080271,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,ba1cc2cd-8a02-4c6c-bbdb-e783523c7a7d,4294976717,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,bb2cfec0-cd8a-4f5f-ad4d-eeeba610930f,4294974617,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,bf074cdf-70ff-4a02-abb0-d6d0be29abe2,4294974869,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,bf3df9a5-b422-4af5-864a-d651de48d26f,4294976801,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,c30245d8-5651-4f6b-a7d9-1712bf6e4e88,4294976045,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,c310a012-592c-495e-90f2-168aa1cee704,4294975205,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,c57a536e-ce39-4941-aff4-622d8fe82651,4294976297,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,d48a2e27-ce92-48da-9b79-fed0072b5dbf,4294974533,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,d5eed4b3-8e52-4dc1-9c6e-da95a7b40277,4295080859,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,d712ed1f-7a93-410f-82a6-ef80735a231c,4294974491,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,da072777-52fd-4834-9c10-0ee0f82da1c9,4294974701,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,dc0f2321-e793-49e9-9ee1-937c87155298,4294974659,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,dc101e1d-3f1f-410b-b83e-ee7fac561bac,4294973996,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,dcafcb5d-4d9d-4a0a-a50e-9b777755abe1,4294974038,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,df7754d7-8bc5-4bec-8298-6777d24ad6ed,4294974911,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,e142aae7-6ba9-48d3-b5bf-9d819ce77fac,4294974575,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,e2decc3f-3382-4912-8838-e68559a26a98,4294975751,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,e702e69f-594f-4926-a262-6e6c1f000dcd,4295081642,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,ed5acd96-1b5b-4f18-8762-f8b4a711aa55,4294976255,0.03,0.0080,,,0.0090,4,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,ed9d9c33-6043-4865-9dbb-2ba38d33338a,4294975457,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,f33aa9b9-0098-4bab-af1f-d9f4580bdcca,4294976087,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,f5e5cd76-4c56-44db-b87d-8c5f1188c68e,4294974785,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,f76ac518-c32c-48c1-a2c6-1dcb17dbcbef,4294975583,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
