Time,Social_P99_ms,Hotel_P99_ms,Feedback_P99_ms
2026-02-17 13:46:37,36.5675,37.1925,3328.0034
2026-02-17 13:46:40,44.7494,36.4208,1153.5939
2026-02-17 13:46:43,17.3491,15.1689,6439.7648
2026-02-17 13:46:50,72.1002,244.5913,4365.7770
2026-02-17 13:46:54,34.1750,105.1394,3263.9960
2026-02-17 13:46:57,67.7528,35.2241,3829.8345
2026-02-17 13:47:01,24.1824,77.6807,3931.3432
2026-02-17 13:47:05,34.2895,29.1850,4126.5222
2026-02-17 13:47:09,51.2812,50.2597,1270.4074
2026-02-17 13:47:12,19.2657,106.0677,4508.7941
2026-02-17 13:47:17,12.5339,95.7433,2332.7084
2026-02-17 13:47:20,40.6083,53.6912,4526.6661
2026-02-17 13:47:24,48.1826,37.3633,3843.6089
2026-02-17 13:47:28,73.1236,54.6982,3825.4456
2026-02-17 13:47:32,77.7550,31.0001,3634.5687
2026-02-17 13:47:36,16.3348,107.6516,1703.6726
2026-02-17 13:47:39,20.2453,174.3728,2908.2728
2026-02-17 13:47:42,16.7060,150.4490,5198.1499
2026-02-17 13:47:47,54.8663,47.6349,1471.2552
2026-02-17 13:47:50,34.2059,43.4927,2838.4481
2026-02-17 13:47:53,26.6805,63.1736,3223.5541
2026-02-17 13:47:56,13.1386,108.9098,1971.5202
2026-02-17 13:47:59,230.1412,118.0328,4524.2008
2026-02-17 13:48:04,16.4867,112.6957,1355.9442
2026-02-17 13:48:07,14.3047,259.0408,3609.3794
2026-02-17 13:48:10,55.4497,31.6739,1607.1519
2026-02-17 13:48:13,48.2990,57.1576,3024.5463
2026-02-17 13:48:16,48.0228,119.1944,2669.6638
2026-02-17 13:48:19,15.9976,321.1768,3092.0982
2026-02-17 13:48:22,43.5420,105.3981,2252.4484
2026-02-17 13:48:25,40.1551,28.6840,5913.8742
2026-02-17 13:48:31,58.5720,33.8177,4523.1880
2026-02-17 13:48:36,69.0717,48.1235,3183.6065
2026-02-17 13:48:39,17.8958,85.5348,4725.9259
2026-02-17 13:48:44,49.7681,44.3747,2015.1962
2026-02-17 13:48:47,16.5986,337.4303,1360.6554
2026-02-17 13:48:50,67.2793,35.0785,2005.6797
2026-02-17 13:48:53,236.2976,220.5398,3111.9647
2026-02-17 13:48:56,16.5453,80.1462,1501.8384
2026-02-17 13:48:59,19.0979,41.2103,541.0333
2026-02-17 13:49:02,17.0315,255.3360,2783.2408
2026-02-17 13:49:05,24.5806,316.1309,2038.5003
2026-02-17 13:49:08,24.9260,88.6149,3493.0252
2026-02-17 13:49:11,23.3490,105.3925,3059.0568
2026-02-17 13:49:14,47.5727,56.7880,1856.6453
2026-02-17 13:49:17,29.5444,38.3277,2201.5218
