Time,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI,BaselineMode,BaselineSamples,Friction,Direction,dF_dt,Energy,Energy_W,Energy_Vol,Energy_kFactor
2026-02-17 13:30:07.860,1233.76,0.0495,0.0150,0.0150,99.7560,24939,0,42.35,97,21.77,641,3.686689,6.391622,CALIBRATING,54,,,,,40,0.000000,1.000000
2026-02-17 13:30:08.860,345.07,0.0196,0.0150,0.0150,4.0290,17633,0,18.34,21,17.70,517,2.235469,0.222593,CALIBRATING,55,,,,,40,0.000000,1.000000
2026-02-17 13:30:09.860,374.72,0.0197,0.0150,0.0150,4.0160,19016,0,55.86,170,17.76,644,3.924719,0.323935,CALIBRATING,56,,,,,40,0.000000,1.000000
2026-02-17 13:30:10.860,396.81,0.0170,0.0150,0.0150,4.0080,23293,1,159.09,310,17.67,555,4.227455,0.263658,CALIBRATING,57,,,,,40,0.000000,1.000000
2026-02-17 13:30:11.860,376.10,0.0194,0.0150,0.0150,4.7380,19408,0,26.95,29,20.23,502,1.961234,0.340351,CALIBRATING,58,,,,,40,0.000000,1.000000
2026-02-17 13:30:12.860,405.08,0.0194,0.0150,0.0150,4.0710,20892,0,68.19,199,20.43,824,3.318406,0.286606,CALIBRATING,59,,,,,40,0.000000,1.000000
2026-02-17 13:30:13.860,374.67,0.0159,0.0150,0.0150,4.0820,23619,0,40.01,32,24.38,488,2.329852,0.289126,CALIBRATING,60,,,,,40,0.000000,1.000000
2026-02-17 13:30:14.860,371.19,0.0204,0.0150,0.0150,4.0250,18191,0,42.63,30,15.50,521,2.579684,0.252547,CALIBRATING,61,,,,,40,0.000000,1.000000
2026-02-17 13:30:15.860,370.20,0.0178,0.0150,0.0150,3.7470,20769,0,33.29,155,20.65,785,3.949030,0.269496,CALIBRATING,62,,,,,40,0.000000,1.000000
2026-02-17 13:30:16.860,360.25,0.0188,0.0150,0.0150,4.0330,19157,0,50.54,69,27.20,687,2.134251,0.255381,CALIBRATING,63,,,,,40,0.000000,1.000000
2026-02-17 13:30:17.860,433.32,0.0145,0.0150,0.0150,4.6960,29985,2,115.90,202,25.73,662,3.610025,0.386496,CALIBRATING,64,,,,,40,0.000000,1.000000
2026-02-17 13:30:18.860,4903.29,0.2093,0.0150,0.0150,99.7560,23424,2,192.21,287,49.57,935,6.100368,11.508500,CALIBRATING,65,,,,,40,0.000000,1.000000
2026-02-17 13:30:19.860,390.19,0.0204,0.0150,0.0150,8.3220,19169,0,36.83,42,58.92,702,2.606499,0.326240,CALIBRATING,66,,,,,40,0.000000,1.000000
2026-02-17 13:30:20.860,366.36,0.0169,0.0150,0.0150,4.0020,21733,0,17.55,81,17.12,582,2.524963,0.242219,CALIBRATING,67,,,,,40,0.000000,1.000000
2026-02-17 13:30:21.860,350.50,0.0189,0.0150,0.0150,4.0060,18497,1,60.46,166,14.20,638,2.076641,0.237498,CALIBRATING,68,,,,,40,0.000000,1.000000
2026-02-17 13:30:22.860,376.12,0.0193,0.0150,0.0150,3.9990,19475,0,52.27,51,21.54,645,3.019171,0.271905,CALIBRATING,69,,,,,40,0.000000,1.000000
2026-02-17 13:30:23.860,1681.55,0.0706,0.0150,0.0150,99.0850,23806,0,47.23,54,16.36,432,2.352536,5.238946,CALIBRATING,70,,,,,40,0.000000,1.000000
2026-02-17 13:30:24.860,343.71,0.0196,0.0150,0.0150,3.9910,17511,0,24.02,73,15.53,591,2.947248,0.229597,CALIBRATING,71,,,,,40,0.000000,1.000000
2026-02-17 13:30:25.860,346.56,0.0189,0.0150,0.0150,4.0150,18355,0,23.19,33,14.48,508,2.168177,0.246503,CALIBRATING,72,,,,,40,0.000000,1.000000
2026-02-17 13:30:26.860,419.53,0.0224,0.0150,0.0150,75.2720,18705,0,24.99,45,23.61,567,2.075688,0.617057,CALIBRATING,73,,,,,40,0.000000,1.000000
2026-02-17 13:30:27.860,457.76,0.0154,0.0150,0.0150,4.4590,29664,1,58.62,200,20.60,802,3.504539,0.412819,CALIBRATING,74,,,,,40,0.000000,1.000000
2026-02-17 13:30:28.860,926.84,0.0508,0.0150,0.0150,99.3080,18248,1,22.96,30,23.62,560,2.018349,7.540805,CALIBRATING,75,,,,,40,0.000000,1.000000
2026-02-17 13:30:29.860,506.21,0.0278,0.0150,0.0150,98.3700,18178,0,24.49,37,19.07,552,2.270903,0.518542,CALIBRATING,76,,,,,40,0.000000,1.000000
2026-02-17 13:30:30.860,353.54,0.0159,0.0150,0.0150,3.0290,22221,1,28.23,162,20.74,788,2.719761,0.279870,CALIBRATING,77,,,,,40,0.000000,1.000000
2026-02-17 13:30:31.860,357.43,0.0195,0.0150,0.0150,4.0070,18304,0,38.69,37,14.71,429,2.087635,0.240622,CALIBRATING,78,,,,,40,0.000000,1.000000
2026-02-17 13:30:32.860,352.62,0.0183,0.0150,0.0150,3.0160,19306,0,39.51,51,30.91,683,2.977895,0.252447,CALIBRATING,79,,,,,40,0.000000,1.000000
2026-02-17 13:30:33.860,717.80,0.0277,0.0150,0.0150,99.4230,25872,0,47.14,144,34.49,719,2.876870,3.466350,CALIBRATING,80,,,,,40,0.000000,1.000000
2026-02-17 13:30:34.860,1012.75,0.0523,0.0150,0.0150,99.4220,19363,0,40.79,45,41.48,776,2.318109,8.355773,CALIBRATING,81,,,,,40,0.000000,1.000000
2026-02-17 13:30:35.860,843.85,0.0341,0.0150,0.0150,99.4280,24739,0,258.21,421,19.36,534,2.354157,2.695833,CALIBRATING,82,,,,,40,0.000000,1.000000
2026-02-17 13:30:36.860,378.24,0.0191,0.0150,0.0150,4.4590,19790,1,38.92,139,19.35,747,2.593230,0.287900,CALIBRATING,83,,,,,40,0.000000,1.000000
2026-02-17 13:30:37.860,435.83,0.0153,0.0150,0.0150,4.0200,28474,1,40.12,51,17.98,557,3.771415,0.357194,CALIBRATING,84,,,,,40,0.000000,1.000000
2026-02-17 13:30:38.860,5492.34,0.3108,0.0150,0.0150,99.8470,17673,0,30.93,41,17.44,517,2.201582,18.808666,CALIBRATING,85,,,,,40,0.000000,1.000000
2026-02-17 13:30:39.860,362.62,0.0205,0.0150,0.0150,4.0020,17664,1,19.65,138,20.28,696,2.957698,0.269692,CALIBRATING,86,,,,,40,0.000000,1.000000
2026-02-17 13:30:40.860,322.70,0.0174,0.0150,0.0150,3.0070,18504,0,100.31,78,13.77,467,2.156211,0.217815,CALIBRATING,87,,,,,40,0.000000,1.000000
2026-02-17 13:30:41.860,365.83,0.0180,0.0150,0.0150,3.9970,20274,0,67.71,75,22.53,539,2.869935,0.287590,CALIBRATING,88,,,,,40,0.000000,1.000000
2026-02-17 13:30:42.860,382.94,0.0188,0.0150,0.0150,4.2000,20380,0,37.14,161,20.23,808,3.224696,0.296634,CALIBRATING,89,,,,,40,0.000000,1.000000
2026-02-17 13:30:43.860,2230.86,0.0909,0.0150,0.0150,99.6460,24535,1,29.74,23,21.92,471,2.317843,7.703164,CALIBRATING,90,,,,,40,0.000000,1.000000
2026-02-17 13:30:44.860,339.92,0.0180,0.0150,0.0150,4.0030,18835,1,28.29,25,17.04,539,2.237265,0.256878,CALIBRATING,91,,,,,40,0.000000,1.000000
2026-02-17 13:30:45.860,358.28,0.0187,0.0150,0.0150,3.9980,19177,0,51.78,187,20.66,772,3.007001,0.269729,CALIBRATING,92,,,,,40,0.000000,1.000000
2026-02-17 13:30:46.860,354.58,0.0190,0.0150,0.0150,3.7280,18663,0,43.41,63,17.05,526,2.491103,0.266740,CALIBRATING,93,,,,,40,0.000000,1.000000
2026-02-17 13:30:47.860,438.85,0.0209,0.0150,0.0150,60.5450,21021,1,28.53,48,22.06,580,3.065794,0.575921,CALIBRATING,94,,,,,40,0.000000,1.000000
2026-02-17 13:30:48.860,367.87,0.0144,0.0150,0.0150,3.0000,25520,1,31.12,184,25.51,793,2.410468,0.303715,CALIBRATING,95,,,,,40,0.000000,1.000000
2026-02-17 13:30:49.860,453.54,0.0237,0.0150,0.0150,6.3900,19174,0,28.86,47,48.54,816,2.202593,2.130186,CALIBRATING,96,,,,,40,0.000000,1.000000
2026-02-17 13:30:50.860,2075.36,0.1030,0.0150,0.0150,94.0030,20142,0,21.45,49,27.88,576,2.294104,3.872030,CALIBRATING,97,,,,,40,0.000000,1.000000
2026-02-17 13:30:51.860,556.71,0.0278,0.0150,0.0150,97.8810,19992,0,39.93,153,16.68,655,3.121772,1.502020,CALIBRATING,98,,,,,40,0.000000,1.000000
2026-02-17 13:30:52.860,856.53,0.0405,0.0150,0.0150,99.8400,21125,0,37.69,51,29.12,679,3.124282,2.838599,CALIBRATING,99,,,,,40,0.000000,1.000000
2026-02-17 13:30:53.860,352.17,0.0149,0.0150,0.0150,3.1290,23613,0,44.16,31,14.56,401,2.374943,0.227901,CALIBRATING,100,,,,,40,0.000000,1.000000
2026-02-17 13:30:54.860,328.60,0.0180,0.0150,0.0150,3.0050,18246,0,16.65,124,19.87,706,2.259174,0.209402,CALIBRATING,101,,,,,40,0.000000,1.000000
2026-02-17 13:30:55.860,333.56,0.0185,0.0150,0.0150,3.9950,18072,0,50.40,41,17.38,533,1.925943,0.212399,CALIBRATING,102,,,,,40,0.000000,1.000000
2026-02-17 13:30:56.860,1055.34,0.0543,0.0150,0.0150,99.6420,19443,0,74.70,108,15.84,517,2.915519,12.324981,CALIBRATING,103,,,,,40,0.000000,1.000000
2026-02-17 13:30:57.860,621.27,0.0288,0.0150,0.0150,99.6320,21566,0,70.12,195,27.91,880,3.409874,0.634527,CALIBRATING,104,,,,,40,0.000000,1.000000
2026-02-17 13:30:58.860,430.75,0.0162,0.0150,0.0150,4.0010,26563,0,28.53,26,15.39,509,2.330654,0.459556,CALIBRATING,105,,,,,40,0.000000,1.000000
2026-02-17 13:30:59.860,340.61,0.0194,0.0150,0.0150,4.0080,17534,0,29.43,31,25.50,583,2.017192,0.242077,CALIBRATING,106,,,,,40,0.000000,1.000000
2026-02-17 13:31:00.860,2282.26,0.1011,0.0150,0.0150,99.8200,22581,0,44.03,188,22.97,894,3.148701,9.457411,CALIBRATING,107,,,,,40,0.000000,1.000000
2026-02-17 13:31:01.860,1907.94,0.0803,0.0150,0.0150,99.1450,23764,0,114.04,198,18.08,595,12.181108,2.873812,CALIBRATING,108,,,,,40,0.000000,1.000000
2026-02-17 13:31:02.860,425.71,0.0217,0.0150,0.0150,60.0470,19619,0,20.78,39,28.64,717,4.625273,0.362485,CALIBRATING,109,,,,,40,0.000000,1.000000
